,FECHA,HORA,PLACA_DETECTADA,PLACA_CORREGIDA,ESTADO,MOTIVO DE RECHAZO
0,9/10/2020,6:12:07,FFB18E,RFB18E,Aprobado,
1,9/10/2020,6:12:10,FRS52,TRS524,Aprobado,
2,9/10/2020,6:15:13,JGZ93,JGZ93D,Aprobado,
3,9/10/2020,6:18:55,LLZ91,CLZ91F,Aprobado,
4,9/10/2020,6:19:01,FJK23,FUK223,Aprobado,
5,9/10/2020,6:19:02,SSD28E,SSD26E,Aprobado,
6,9/10/2020,6:19:04,HFM31,HFM531,Aprobado,
7,9/10/2020,6:19:14,MWR56,MVR557,Aprobado,
8,9/10/2020,6:20:12,JKR96D,JKR95D,Aprobado,
9,9/10/2020,6:20:17,LBS77,LBS77A,Aprobado,
10,9/10/2020,6:21:01,AAH67,AAU57U,Aprobado,
11,9/10/2020,6:23:21,HCK31,HHZQ81,Aprobado,
12,9/10/2020,6:23:25,KBS82C,KBL82C,Aprobado,
13,9/10/2020,6:25:37,KIX35X,KII35D,Aprobado,
14,9/10/2020,6:25:40,MGH02,MGH02E,Aprobado,
15,9/10/2020,6:26:46,ZXG11C,ZXG11D,Aprobado,
16,9/10/2020,6:27:34,FHA86,FHA86D,Aprobado,
17,9/10/2020,6:29:45,NWH85A,WWH85A,Aprobado,
18,9/10/2020,6:30:14,GDX58,GDX58E,Aprobado,
19,9/10/2020,6:32:30,JFF86,FFF816,Aprobado,
20,9/10/2020,6:34:26,WLQ085,MLQ085,Aprobado,
21,9/10/2020,6:34:51,MCR49B,MCR49B,Aprobado,
22,9/10/2020,6:36:36,ALS731,LAF701,Aprobado,
23,9/10/2020,6:36:45,ANA86D,AWA86D,Aprobado,
24,9/10/2020,6:39:03,CBE79B,lbv79b,Aprobado,
25,9/10/2020,6:39:51,NVT76,NVS72F,Aprobado,
26,9/10/2020,6:42:39,WKK50,WKK50D,Aprobado,
27,9/10/2020,6:42:53,EKG707,EKG707,Aprobado,
28,9/10/2020,6:43:02,XAB23E,XRB23E,Aprobado,
29,9/10/2020,6:43:23,EIC38E,EID38E,Aprobado,
30,9/10/2020,6:43:35,PDG29,PDG29B,Aprobado,
31,9/10/2020,6:45:08,TTN34E,TTN345,Aprobado,
32,9/10/2020,6:47:06,URE16D,,Rechazado,CAPTURA DE IMAGEN A DIFERENTE VEHÍCULO
33,9/10/2020,6:48:06,LLQ97,LQQ97E,Aprobado,
34,9/10/2020,6:50:07,JRK50D,JKK50D,Aprobado,
35,9/10/2020,6:50:34,TPW029,TPL029,Aprobado,
36,9/10/2020,6:51:37,JOO11,JOO11F,Aprobado,
37,9/10/2020,6:51:54,ERD81F,ERN81F,Aprobado,
